StartLatitude,StartLongitude,StartTime,StartNH,EndNH,Covid
38.257,-85.751,2019-03-13T10:45:00Z,Downtown,Downtown,0
38.231,-85.764,2019-04-29T09:15:00Z,University,University,0
38.216,-85.762,2019-08-29T08:00:00Z,University,University,0
38.213,-85.75200000000001,2019-04-04T07:00:00Z,University,University,0
38.217,-85.762,2019-02-21T14:00:00Z,University,University,0
38.223,-85.734,2019-12-01T17:30:00Z,Southeast Core,University,0
38.254,-85.757,2019-10-19T10:45:00Z,Downtown,Downtown,0
38.239,-85.726,2019-07-07T11:00:00Z,Southeast Core,Southeast Core,0
38.25,-85.758,2019-06-01T17:45:00Z,Downtown,Downtown,0
38.259,-85.757,2019-06-28T11:45:00Z,Downtown,Downtown,0
38.252,-85.75399999999999,2019-06-05T16:00:00Z,Downtown,Downtown,0
38.232,-85.709,2019-07-21T11:30:00Z,Southeast Core,Downtown,0
38.232,-85.75399999999999,2019-04-25T12:00:00Z,University,University,0
38.257,-85.76,2019-08-25T14:45:00Z,Downtown,Downtown,0
38.221,-85.76299999999999,2019-03-22T08:00:00Z,West Core,University,0
38.258,-85.745,2019-09-29T12:15:00Z,Downtown,Downtown,0
38.233,-85.745,2019-06-21T08:00:00Z,University,University,0
38.253,-85.757,2019-08-17T12:00:00Z,Downtown,Downtown,0
38.256,-85.74,2019-08-14T13:15:00Z,Downtown,Downtown,0
38.22,-85.758,2019-02-18T14:00:00Z,University,University,0
38.256,-85.757,2019-05-02T18:15:00Z,Downtown,Downtown,0
38.254,-85.75299999999999,2019-06-05T15:15:00Z,Downtown,Downtown,0
38.252,-85.73899999999999,2019-06-09T11:00:00Z,Downtown,Downtown,0
38.256,-85.75200000000001,2019-09-30T18:15:00Z,Downtown,Downtown,0
38.237,-85.719,2019-10-22T17:00:00Z,Southeast Core,Southeast Core,0
38.221,-85.76299999999999,2019-07-18T07:15:00Z,West Core,University,0
38.21,-85.756,2019-11-23T17:15:00Z,University,University,0
38.22,-85.75399999999999,2019-09-24T10:15:00Z,University,University,0
38.254,-85.742,2019-08-24T15:15:00Z,Downtown,Downtown,0
38.237,-85.738,2019-05-23T21:15:00Z,Southeast Core,Southeast Core,0
38.23,-85.704,2018-11-18T19:15:00Z,Southeast Core,Southeast Core,0
38.258,-85.756,2019-07-08T20:00:00Z,Downtown,Downtown,0
38.221,-85.76100000000001,2019-04-03T16:45:00Z,University,University,0
38.256,-85.75200000000001,2019-07-14T16:30:00Z,Downtown,Downtown,0
38.217,-85.76299999999999,2019-10-04T18:15:00Z,University,University,0
38.204,-85.762,2019-06-05T01:15:00Z,Other,Other,0
38.219,-85.76100000000001,2019-10-29T15:30:00Z,University,West Core,0
38.256,-85.75,2019-08-18T10:30:00Z,Downtown,Downtown,0
38.262,-85.736,2019-10-27T19:15:00Z,Northeast Core,Northeast Core,0
38.254,-85.758,2019-06-07T17:15:00Z,Downtown,Downtown,0
38.254,-85.74600000000001,2019-09-06T07:30:00Z,Downtown,Downtown,0
38.223,-85.76899999999999,2019-05-29T15:15:00Z,West Core,University,0
38.222,-85.756,2019-01-02T13:30:00Z,University,University,0
38.221,-85.76299999999999,2018-12-31T22:15:00Z,West Core,University,0
38.256,-85.74600000000001,2019-05-22T10:15:00Z,Downtown,Northeast Core,0
38.256,-85.75399999999999,2018-10-13T15:15:00Z,Downtown,Downtown,0
38.227,-85.73100000000001,2019-10-10T07:45:00Z,Southeast Core,Southeast Core,0
38.255,-85.76,2019-10-11T20:15:00Z,Downtown,Downtown,0
38.221,-85.76299999999999,2019-11-03T16:00:00Z,West Core,University,0
38.213,-85.76,2019-02-06T08:30:00Z,University,West Core,0
38.216,-85.758,2019-09-20T11:00:00Z,University,West Core,0
38.258,-85.745,2020-06-14T22:30:00Z,Downtown,Downtown,1
38.214,-85.75200000000001,2019-05-11T13:00:00Z,University,Downtown,0
38.252,-85.75399999999999,2019-01-10T19:45:00Z,Downtown,Downtown,0
38.259,-85.75200000000001,2019-07-27T12:30:00Z,Downtown,Downtown,0
38.221,-85.76299999999999,2019-11-06T10:45:00Z,West Core,University,0
38.254,-85.757,2019-05-18T10:00:00Z,Downtown,Downtown,0
38.253,-85.74700000000001,2019-02-18T09:30:00Z,Downtown,University,0
38.251,-85.757,2019-03-22T10:45:00Z,Downtown,Downtown,0
38.255,-85.765,2019-05-21T03:30:00Z,Downtown,Downtown,0
38.221,-85.68799999999999,2019-06-19T13:00:00Z,Southeast Core,Southeast Core,0
38.234,-85.706,2019-09-10T20:45:00Z,Southeast Core,Southeast Core,0
38.236,-85.704,2020-05-16T19:30:00Z,Southeast Core,Other,1
38.256,-85.75299999999999,2019-09-28T23:45:00Z,Downtown,Downtown,0
38.201,-85.759,2020-01-30T17:30:00Z,University,University,0
38.243,-85.758,2019-06-06T10:45:00Z,Downtown,Downtown,0
38.258,-85.757,2019-08-08T15:45:00Z,Downtown,Downtown,0
38.257,-85.759,2019-10-20T14:45:00Z,Downtown,Downtown,0
38.223,-85.693,2019-08-07T21:00:00Z,Southeast Core,Southeast Core,0
38.253,-85.74,2019-08-16T23:45:00Z,Downtown,Downtown,0
38.253,-85.757,2019-08-17T22:15:00Z,Downtown,Downtown,0
38.214,-85.76100000000001,2019-05-02T05:15:00Z,University,Other,0
38.248000000000005,-85.75399999999999,2019-05-10T12:30:00Z,Downtown,Downtown,0
38.227,-85.742,2019-02-16T07:30:00Z,University,University,0
38.206,-85.757,2019-08-16T14:00:00Z,University,University,0
38.246,-85.762,2019-10-18T06:45:00Z,Downtown,West Core,0
38.253,-85.74,2019-07-06T02:00:00Z,Downtown,University,0
38.244,-85.756,2019-05-11T12:00:00Z,Downtown,University,0
38.257,-85.758,2019-04-10T15:45:00Z,Downtown,Downtown,0
38.254,-85.741,2019-03-27T08:30:00Z,Downtown,Downtown,0
38.251,-85.757,2019-06-10T14:45:00Z,Downtown,Downtown,0
38.254,-85.755,2019-08-03T17:00:00Z,Downtown,Downtown,0
38.223,-85.738,2019-05-22T18:45:00Z,Southeast Core,Southeast Core,0
38.223,-85.694,2018-09-11T18:45:00Z,Southeast Core,Southeast Core,0
38.227,-85.741,2020-05-31T09:15:00Z,Southeast Core,Southeast Core,1
38.251,-85.734,2018-09-16T15:30:00Z,Downtown,Northeast Core,0
38.204,-85.743,2018-09-08T15:45:00Z,University,University,0
38.248000000000005,-85.758,2019-10-18T15:45:00Z,Downtown,Downtown,0
38.257,-85.75399999999999,2019-05-31T15:15:00Z,Downtown,Downtown,0
38.256,-85.75299999999999,2019-08-24T12:00:00Z,Downtown,Downtown,0
38.256,-85.758,2019-12-03T16:00:00Z,Downtown,Downtown,0
38.273,-85.743,2019-08-15T14:45:00Z,Other,Downtown,0
38.225,-85.76799999999999,2019-08-12T12:15:00Z,West Core,University,0
38.255,-85.751,2019-10-18T13:45:00Z,Downtown,Other,0
38.254,-85.74600000000001,2019-05-29T21:15:00Z,Downtown,Downtown,0
38.253,-85.757,2019-12-12T20:30:00Z,Downtown,Downtown,0
38.256,-85.75299999999999,2019-11-02T12:30:00Z,Downtown,Downtown,0
38.258,-85.744,2019-05-18T17:30:00Z,Downtown,Downtown,0
38.256,-85.73700000000001,2019-04-24T18:15:00Z,Downtown,Downtown,0
38.253,-85.736,2019-06-22T20:30:00Z,Downtown,Downtown,0
38.22,-85.758,2018-12-05T14:30:00Z,University,University,0
38.216,-85.76100000000001,2019-09-05T11:45:00Z,University,West Core,0
38.249,-85.735,2019-06-03T13:15:00Z,Downtown,Downtown,0
38.263000000000005,-85.777,2020-05-30T16:45:00Z,Other,Other,1
38.24,-85.755,2019-08-07T16:15:00Z,Downtown,Downtown,0
38.214,-85.74,2019-05-04T08:00:00Z,Southeast Core,University,0
38.247,-85.756,2019-10-14T15:45:00Z,Downtown,Downtown,0
38.255,-85.744,2019-08-17T21:45:00Z,Downtown,Downtown,0
38.219,-85.75399999999999,2019-04-23T06:45:00Z,University,University,0
38.215,-85.758,2019-09-06T07:00:00Z,University,University,0
38.253,-85.735,2019-05-25T14:45:00Z,Downtown,Downtown,0
38.272,-85.74,2020-05-27T11:30:00Z,Other,Other,1
38.247,-85.757,2019-05-24T18:45:00Z,Downtown,Downtown,0
38.218,-85.764,2019-09-10T06:00:00Z,West Core,University,0
38.229,-85.68799999999999,2019-07-26T17:00:00Z,Southeast Core,Southeast Core,0
38.217,-85.76100000000001,2019-10-03T18:15:00Z,University,University,0
38.255,-85.745,2018-08-23T21:00:00Z,Downtown,Downtown,0
38.258,-85.76299999999999,2019-08-09T21:45:00Z,Downtown,Downtown,0
38.218,-85.764,2019-03-07T08:15:00Z,West Core,University,0
38.261,-85.777,2019-07-16T10:00:00Z,Other,Downtown,0
38.253,-85.75399999999999,2019-06-03T17:15:00Z,Downtown,Downtown,0
38.256,-85.75200000000001,2019-10-25T15:45:00Z,Downtown,Downtown,0
38.225,-85.76799999999999,2019-08-06T23:15:00Z,West Core,University,0
38.256,-85.76,2019-08-31T18:45:00Z,Downtown,Downtown,0
38.24,-85.72399999999999,2019-06-13T16:45:00Z,Southeast Core,Southeast Core,0
38.233,-85.71,2019-08-23T12:00:00Z,Southeast Core,Southeast Core,0
38.262,-85.73700000000001,2020-02-15T14:45:00Z,Northeast Core,Northeast Core,0
38.253,-85.757,2019-10-05T14:15:00Z,Downtown,Downtown,0
38.257,-85.76,2019-05-26T09:30:00Z,Downtown,Downtown,0
38.253,-85.757,2019-07-12T18:30:00Z,Downtown,Downtown,0
38.217,-85.762,2019-02-14T12:15:00Z,University,University,0
38.251,-85.755,2019-05-02T17:15:00Z,Downtown,Downtown,0
38.254,-85.73899999999999,2019-08-11T16:30:00Z,Downtown,Downtown,0
38.228,-85.742,2019-09-14T09:15:00Z,University,West Core,0
38.258,-85.728,2019-07-04T20:15:00Z,Downtown,Downtown,0
38.253,-85.757,2019-04-14T08:00:00Z,Downtown,Downtown,0
38.223,-85.76100000000001,2019-07-25T12:00:00Z,University,University,0
